bastante	A1
bastardo	C2
basto	C1
bastos	C2
basura	B1
basurero	B2
bata	B2
batalla	B2
batallar	C2
batería	B1
batidora	B2
batir	B1
batuta	C2
bautismo	C1
bautizo	B2
bayeta	C1
bazar	C2
bañador	A2
bañarse	A1
bañera	A2
baño	A1
baños	B1
beato	C1
bebedero	C2
beber	A1
bebida	A2
bebidas	B1
bebé	A2
beca	B1
becario	C1
belleza	B2
bendecir	B2
bendito	C1
beneficio	C1
beneficios	C1
beneficioso	C1
berenjena	B1
besar	B1
besarse	B1
bestia	C1
biblia	B1
biblioteca	A1
bicho	C1
bici	C1
bien	A1
bienes	C1
bienio	C2
bifurcarse	C2
bigamia	C2
bigote	A1
bilingüe	B2
billete	A1
bimensual	C1
bimotor	C2
biodiversidad	C1
biografía	B1
biología	B1
biológica	C1
biológico	B2
biomasa	B2
bioquímica	C2
biosfera	B2
biotecnología	C1
biquini	A2
bisabuelo	B2
bisexual	B1
bisnieto	C1
bizco	C2
bizcocho	B1
biógrafo	C2
biólogo	B1
blanca	C1
blanco	A1
blancos	B2
blandengue	C2
blando	B1
blanquear	C1
blasfemar	C2
blasfemia	C2
blindar	C2
bloque	B1
bloquear	B2
bloquearse	C1
blusa	A2
boca	B2
bocacalle	C2
bocadillo	A1
bocanada	C2
bocazas	C2
bochorno	C1
boda	B1
bodas	B2
bol	B2
boletín	C2
bollería	B2
bolsa	B1
bolsas	C1
bolso	A1
bolígrafo	A1
bomba	B1
bombardear	C1
bombero	A1
bombilla	B2
bonanza	C2
bondad	C2
bonificación	C2
bonito	A1
bonos	C2
boquiabierto	C2
bordado	C1
borde	C2
bordear	C2
borrador	B2
borrar	B2
borrasca	B2
borrosa	C1
borroso	C1
bosque	A2
bostezar	B2
botar	C2
botas	A2
botavara	C2
bote	B1
botella	A2
botiquín	B2
botones	C2
botánica	C1
botánico	C1
botín	C2
botón	C1
bovino	C1
bozal	C1
braga	A2
bragueta	C2
bravo	B2
brazo	A2
brebaje	C2
brecha	C2
breve	B2
bricolaje	B1
brillante	B2
brillar	B2
brillo	C1
brindar	B2
brisa	C1
británica	C1
brizna	C2
bronce	B2
bronquitis	B2
brotar	C2
brote	C2
bruma	C2
brusco	C1
bruscos	C1
bruto	C1
brutos	C1
brújula	C1
bucal	C1
buceador	B1
budismo	B2
budista	B2
buen	A1
buena	B2
buenas	B1
bueno	A1
buenos	B2
buenísimo	B1
bufanda	A2
bufete	B1
bufé	B2
buhardilla	B2
buitre	C1
bujía	C2
bujías	C2
bulo	C2
bulto	C1
bungaló	B2
buque	C2
burguesía	C1
burgués	C1
burlar	C1
burocracia	B1
bus	B1
